epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1498,1.5493,7.72317,1.59326,0,0,0,0,1.91317,4.4524,1.92625,0.000998857,0.000998857,0.000998857
2,166.614,1.53741,3.18012,1.49892,0.24699,0.14801,0.04687,0.01344,1.76861,3.4305,1.72472,0.001,0.001,0.001
3,250.698,1.43595,2.79768,1.41026,0.12993,0.40433,0.08439,0.01983,1.76003,3.1564,1.70717,0.001,0.001,0.001
4,334.665,1.40309,2.63078,1.37396,0.15918,0.14079,0.03093,0.00627,1.86305,3.77574,1.78106,0.001,0.001,0.001
5,418.58,1.33977,2.44963,1.29813,0.21101,0.33213,0.1216,0.03305,1.74356,3.2234,1.6982,0.001,0.001,0.001
6,501.925,1.30213,2.32039,1.27867,0.22203,0.45848,0.2067,0.0742,1.75557,2.93589,1.62638,0.001,0.001,0.001
7,585.048,1.24268,2.10007,1.223,0.16736,0.43682,0.17218,0.05557,1.74727,3.03825,1.66328,0.001,0.001,0.001
8,668.711,1.19584,1.94617,1.19086,0.35368,0.22383,0.1742,0.06432,1.74513,2.82513,1.66165,0.001,0.001,0.001
9,753.348,1.11571,1.70146,1.13085,0.46383,0.26859,0.23545,0.07555,1.78347,2.74872,1.71018,0.001,0.001,0.001
10,837.301,1.08897,1.48485,1.10781,0.39981,0.29242,0.23513,0.07366,1.81408,2.82905,1.75611,0.001,0.001,0.001
11,919.849,0.98379,1.30843,1.02118,0.41745,0.28159,0.21799,0.07185,1.86384,3.08421,1.82283,0.001,0.001,0.001
12,1005.1,0.93192,1.00195,0.97739,0.39633,0.25836,0.18236,0.06109,1.88427,3.23673,1.8775,0.001,0.001,0.001
13,1089.78,0.84975,0.84855,0.92029,0.44902,0.25596,0.19829,0.06019,1.94723,3.28531,1.9267,0.001,0.001,0.001
14,1173.55,0.77774,0.66903,0.87391,0.50893,0.26715,0.18561,0.06292,1.92299,3.66715,1.94495,0.001,0.001,0.001
