sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
binning_minimum_support,faster_rcnn,17,3,3|3|3|3|3,1,0.001,False,0.042102678916248755,True,,18260,18260,0,1.0,243,88,88,18260,1.0,27.0,1,3075
binning_minimum_support,faster_rcnn,17,3,3|3|3|3|3,4,0.001,False,0.04104918532828603,True,,18260,18260,0,1.0,243,88,67,18223,0.997973713033954,59.0,4,3075
binning_minimum_support,faster_rcnn,17,3,3|3|3|3|3,8,0.001,False,0.040016152592350876,True,,18260,18260,0,1.0,243,88,58,18172,0.9951807228915662,70.0,8,3075
binning_minimum_support,faster_rcnn,17,3,3|3|3|3|3,16,0.001,False,0.039332498007943355,True,,18260,18260,0,1.0,243,88,51,18092,0.9907995618838993,95.0,16,3075
binning_minimum_support,faster_rcnn,17,5,5|5|5|5|5,1,0.001,False,0.04274418485132356,True,,18260,18260,0,1.0,3125,354,354,18260,1.0,6.5,1,1483
binning_minimum_support,faster_rcnn,17,5,5|5|5|5|5,4,0.001,False,0.03920925883761798,True,,18260,18260,0,1.0,3125,354,222,18035,0.9876779846659365,18.0,4,1483
binning_minimum_support,faster_rcnn,17,5,5|5|5|5|5,8,0.001,True,0.035072305953740376,True,,18260,18260,0,1.0,3125,354,169,17748,0.971960569550931,28.0,8,1483
binning_minimum_support,faster_rcnn,17,5,5|5|5|5|5,16,0.001,False,0.030018894942861144,True,,18260,18260,0,1.0,3125,354,115,17163,0.9399233296823658,42.0,16,1483
binning_minimum_support,faster_rcnn,17,7,7|7|7|7|7,1,0.001,False,0.04396820250815209,True,,18260,18260,0,1.0,16807,906,906,18260,1.0,3.0,1,709
binning_minimum_support,faster_rcnn,17,7,7|7|7|7|7,4,0.001,False,0.03396679376691134,True,,18260,18260,0,1.0,16807,906,440,17542,0.9606790799561884,12.5,4,709
binning_minimum_support,faster_rcnn,17,7,7|7|7|7|7,8,0.001,False,0.026437699576716878,True,,18260,18260,0,1.0,16807,906,306,16850,0.9227820372398685,24.0,8,709
binning_minimum_support,faster_rcnn,17,7,7|7|7|7|7,16,0.001,False,0.017817697229490156,True,,18260,18260,0,1.0,16807,906,193,15636,0.8562979189485214,43.0,16,709
confidence_floor,faster_rcnn,17,5,5|5|5|5|5,8,0.001,True,0.035072305953740376,True,,18260,18260,0,1.0,3125,354,169,17748,0.971960569550931,28.0,8,1483
confidence_floor,faster_rcnn,17,5,5|5|5|5|5,8,0.005,False,0.07146145620531612,True,,8711,18260,9549,0.47705366922234393,3125,322,127,8151,0.9357134657329813,23.0,8,583
confidence_floor,faster_rcnn,17,5,5|5|5|5|5,8,0.01,False,0.09659675751466003,True,,6309,18260,11951,0.3455093099671413,3125,313,106,5734,0.9088603582184182,24.5,8,388
confidence_floor,faster_rcnn,17,5,5|5|5|5|5,8,0.05,False,0.18119203311778442,True,,3071,18260,15189,0.16818181818181818,3125,272,83,2585,0.841745359817649,24.0,8,128
binning_minimum_support,faster_rcnn,42,3,3|3|3|3|3,1,0.001,False,0.04427093491147037,True,,7682,7682,0,1.0,243,67,67,7682,1.0,22.0,1,1613
binning_minimum_support,faster_rcnn,42,3,3|3|3|3|3,4,0.001,False,0.043130828947200675,True,,7682,7682,0,1.0,243,67,49,7652,0.9960947669877636,31.0,4,1613
binning_minimum_support,faster_rcnn,42,3,3|3|3|3|3,8,0.001,False,0.04175793778232077,True,,7682,7682,0,1.0,243,67,42,7615,0.9912783129393388,42.5,8,1613
binning_minimum_support,faster_rcnn,42,3,3|3|3|3|3,16,0.001,False,0.03986337832193684,True,,7682,7682,0,1.0,243,67,37,7565,0.984769591252278,53.0,16,1613
binning_minimum_support,faster_rcnn,42,5,5|5|5|5|5,1,0.001,False,0.04969995543915661,True,,7682,7682,0,1.0,3125,298,298,7682,1.0,3.0,1,605
binning_minimum_support,faster_rcnn,42,5,5|5|5|5|5,4,0.001,False,0.03956031793598691,True,,7682,7682,0,1.0,3125,298,145,7427,0.9668055193959906,12.0,4,605
binning_minimum_support,faster_rcnn,42,5,5|5|5|5|5,8,0.001,True,0.03128836082269246,True,,7682,7682,0,1.0,3125,298,95,7170,0.9333506899244989,22.0,8,605
