detector,seed,total_detections_entering_calibration,class_count,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max,detection_ece,detection_ece_defined,prediction_score_floor,bins_per_dimension,minimum_samples_per_cell
faster_rcnn,17,18260,1,3125,354,169,17748,0.971960569550931,28.0,8,1483,0.035072305953740376,True,0.001,5|5|5|5|5,8
faster_rcnn,42,7682,1,3125,298,95,7170,0.9333506899244989,22.0,8,605,0.03128836082269246,True,0.001,5|5|5|5|5,8
faster_rcnn,137,25030,1,3125,318,164,24614,0.9833799440671195,34.0,8,2292,0.02662713231137108,True,0.001,5|5|5|5|5,8
faster_rcnn,271,6588,1,3125,263,84,6149,0.9333636915604129,21.5,8,629,0.026953962174521024,True,0.001,5|5|5|5|5,8
faster_rcnn,314,3663,1,3125,247,70,3220,0.879060879060879,18.0,8,252,0.04027477076422441,True,0.001,5|5|5|5|5,8
yolo11s,17,1019,1,3125,102,29,835,0.8194308145240432,21.0,9,93,0.07141554794903528,True,0.001,5|5|5|5|5,8
yolo11s,42,773,1,3125,81,27,645,0.8344113842173351,17.0,8,84,0.08830178842140679,True,0.001,5|5|5|5|5,8
yolo11s,137,394,1,3125,101,15,214,0.5431472081218274,12.0,8,31,0.1122666361229376,True,0.001,5|5|5|5|5,8
yolo11s,271,962,1,3125,68,21,872,0.9064449064449065,22.0,8,143,0.13129776887551606,True,0.001,5|5|5|5|5,8
yolo11s,314,905,1,3125,81,29,797,0.8806629834254144,19.0,8,80,0.09185182074064295,True,0.001,5|5|5|5|5,8
