detector,threshold_probability,net_benefit,net_benefit_ci_lower,net_benefit_ci_upper,mean_true_positive_images,mean_false_positive_images,mean_flagged_images,treat_all_net_benefit,treat_all_ci_lower,treat_all_ci_upper,treat_none_net_benefit,treat_none_ci_lower,treat_none_ci_upper,net_benefit_difference_vs_other,difference_ci_lower,difference_ci_upper,other_detector,point_estimate_preferred_detector,paired_ci_preferred_detector,point_estimate_best_strategy,population,population_unit,image_count,positive_image_count,negative_image_count,disease_prevalence,disease_prevalence_percent,patient_group_count,seed_count,seed_ids,confidence_level,bootstrap_resamples,bootstrap_valid_resamples,bootstrap_method,seed_aggregation,decision_rule,outcome_definition,score_interpretation
faster_rcnn,0.01,0.21516767676767676,0.16660714413274594,0.26715725400508966,165.8,438.0,603.8,0.2175084175084175,0.1675703656313075,0.26879152093971603,0.0,0.0,0.0,0.08756632996632996,0.0626657091610363,0.11753395358152463,yolo11s,faster_rcnn,faster_rcnn,treat_all,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.01,0.1276013468013468,0.08021594128578577,0.17712231596575703,96.4,69.2,165.60000000000002,0.2175084175084175,0.1675703656313075,0.26879152093971603,0.0,0.0,0.0,-0.08756632996632996,-0.11753395358152463,-0.0626657091610363,faster_rcnn,faster_rcnn,faster_rcnn,treat_all,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.02,0.20776598639455784,0.15957332167834487,0.260171061129619,164.2,410.4,574.5999999999999,0.20952380952380953,0.1590761856887698,0.2613302099288968,0.0,0.0,0.0,0.09568979591836738,0.06504347623653521,0.13517230330876068,yolo11s,faster_rcnn,faster_rcnn,treat_all,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.02,0.11207619047619047,0.06410660142361907,0.1626340702245723,85.2,56.0,141.2,0.20952380952380953,0.1590761856887698,0.2613302099288968,0.0,0.0,0.0,-0.09568979591836738,-0.1351723033087607,-0.06504347623653521,faster_rcnn,faster_rcnn,faster_rcnn,treat_all,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.03,0.200659793814433,0.1507499951407108,0.2537495979631892,162.6,391.4,554.0,0.2013745704467354,0.15040686801545816,0.25371505745393697,0.0,0.0,0.0,0.10319725085910654,0.06846729979180123,0.14995935362474705,yolo11s,faster_rcnn,faster_rcnn,treat_all,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.03,0.09746254295532646,0.050214232393932,0.14879724308374054,74.6,48.6,123.19999999999999,0.2013745704467354,0.15040686801545816,0.25371505745393697,0.0,0.0,0.0,-0.10319725085910654,-0.14995935362474705,-0.06846729979180124,faster_rcnn,faster_rcnn,faster_rcnn,treat_all,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.04,0.1949,0.14504993176120035,0.24838761207662935,161.8,375.0,536.8,0.19305555555555554,0.14155693955728582,0.24594125596908215,0.0,0.0,0.0,0.1058222222222222,0.06624240498127779,0.16102848976581222,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.04,0.08907777777777778,0.03894591254000731,0.1435459682460902,68.6,43.0,111.6,0.19305555555555554,0.14155693955728582,0.24594125596908215,0.0,0.0,0.0,-0.1058222222222222,-0.16102848976581227,-0.0662424049812778,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.05,0.18992280701754388,0.14045487566082532,0.24359804059270998,161.6,364.0,525.6,0.18456140350877193,0.1325206968157836,0.2380037955055988,0.0,0.0,0.0,0.10477192982456143,0.06579812866538354,0.15869583133514503,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.05,0.08515087719298245,0.03733234886752485,0.13859676777062455,66.0,40.6,106.6,0.18456140350877193,0.1325206968157836,0.2380037955055988,0.0,0.0,0.0,-0.10477192982456143,-0.15869583133514506,-0.06579812866538357,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
