detector,seed,run_id,best_epoch,completed_epochs,split,image_count,target_count,true_positives,false_positives,false_negatives,operating_point_prediction_count,coco_prediction_count,maximum_prediction_score,score_threshold,match_iou_threshold,coco_minimum_score,max_detections,precision,recall,f1,iou,dice,conditional_localization_defined,conditional_localization_undefined_reason,map_50,map_50_95,evaluation_inference_seconds,evaluation_fps,profile_fps,inference_time_ms,p50_inference_time_ms,p95_inference_time_ms,total_parameters,trainable_parameters,gflops,peak_gpu_memory_mib,training_time_seconds,checkpoint_size_mib,checkpoint_sha256,prediction_bundle
faster_rcnn,17,faster_rcnn_rsna_seed17_full,6,11,test,750,268,173,1141,95,1314,18260,0.9349318742752075,0.25,0.5,0.001,100,0.13165905631659056,0.6455223880597015,0.21871049304677623,0.6727877542452775,0.7996961105685069,True,,0.2955726614421415,0.0983562201940088,70.07818749992293,10.702331592135211,10.99924161328444,90.91535900004601,90.7801000003019,92.18159000056403,43256153,43030809,450.7637248,1556.60498046875,7017.7975952,165.3787326812744,9ec35c5d761f8e4bf7a43f7999f388ac1ffc0d533f62746409db280706dffab4,results/logs/phase5_evaluation/predictions/faster_rcnn_seed17_test_predictions.json.gz
faster_rcnn,42,faster_rcnn_rsna_seed42_full,9,14,test,750,268,156,577,112,733,7682,0.9713473320007324,0.25,0.5,0.001,100,0.21282401091405184,0.582089552238806,0.3116883116883117,0.6817770297555673,0.8062480833465773,True,,0.30954831060054333,0.10538413110006555,68.9220221000578,10.881862968430971,21.82265379586596,45.82394099976227,44.33920000155922,57.48480000111158,43256153,43030809,450.7637248,1557.080078125,8278.031165499997,165.3787326812744,c97813cf5dfe50b6eb074fe50cd4a870bb24e5a667bfaf8b94b37a844fd2b83d,results/logs/phase5_evaluation/predictions/faster_rcnn_seed42_test_predictions.json.gz
faster_rcnn,137,faster_rcnn_rsna_seed137_full,2,8,test,750,268,184,1101,84,1285,25030,0.8134608268737793,0.25,0.5,0.001,100,0.1431906614785992,0.6865671641791045,0.23696072118480363,0.6650209043770866,0.7932969496231345,True,,0.3200806628353708,0.1032238024790173,69.12414360015828,10.850044006885645,19.452296093383364,51.40781300055096,51.768300003459444,56.52560499875108,43256153,43030809,450.7637248,1557.0791015625,3338.4107943000054,165.3787326812744,0d651d620c4106de296648960424326980ff13dd631a9baa120997590abc2a78,results/logs/phase5_evaluation/predictions/faster_rcnn_seed137_test_predictions.json.gz
faster_rcnn,271,faster_rcnn_rsna_seed271_full,9,14,test,750,268,141,435,127,576,6588,0.9698140025138855,0.25,0.5,0.001,100,0.24479166666666666,0.5261194029850746,0.3341232227488152,0.6762095750623172,0.8021205048231906,True,,0.32026447410162884,0.10209005760852218,69.16177659999812,10.844140172073319,25.189607211318666,39.698912000130804,39.46240000186663,42.128020001837285,43256153,43030809,450.7637248,1556.60498046875,6028.213635800001,165.3787326812744,fa7ef259b30d5ce19c954e3e30ddecf3c6d74d05e82c5d525eb499a2db2c998f,results/logs/phase5_evaluation/predictions/faster_rcnn_seed271_test_predictions.json.gz
faster_rcnn,314,faster_rcnn_rsna_seed314_full,13,18,test,750,268,123,375,145,498,3663,0.9749884009361267,0.25,0.5,0.001,100,0.2469879518072289,0.458955223880597,0.32114882506527415,0.6788383675151863,0.803663564373713,True,,0.2756529265385327,0.08845364273590539,69.23644829988189,10.832444737077587,23.911384600007917,41.82108299992251,41.61220000059984,45.750725001926185,43256153,43030809,450.7637248,1557.08203125,8642.586697899998,165.3787326812744,e2147d0c45b1c7e369270a2d737e08b564fedd37cd88e2456ec13df03e4591a7,results/logs/phase5_evaluation/predictions/faster_rcnn_seed314_test_predictions.json.gz
yolo11s,17,yolo11s_rsna_seed17_full,10,15,test,750,268,36,56,232,92,1019,0.6700419783592224,0.25,0.5,0.001,100,0.391304347826087,0.13432835820895522,0.2,0.6947503501631447,0.8162901260402724,True,,0.184171740556827,0.060693096663705294,20.417699700105004,36.7328352858546,65.23862363925694,15.32834300014656,14.487699998426251,19.823619998896895,9428179,9428163,21.4198784,1148.16357421875,1975.6367942999932,18.28462505340576,65909164e82c1ef53c0d38e0d898d37bbbec5f46cb9f5cd029e76ba486c0371c,results/logs/phase5_evaluation/predictions/yolo11s_seed17_test_predictions.json.gz
yolo11s,42,yolo11s_rsna_seed42_full,10,14,test,750,268,34,51,234,85,773,0.532317578792572,0.25,0.5,0.001,100,0.4,0.12686567164179105,0.19263456090651557,0.7170195854706174,0.8309782208263976,True,,0.16893425232205408,0.05832218986182618,20.78822169986961,36.07812206489525,46.73798758971339,21.39587199984817,21.29264999894076,25.86225000122795,9428179,9428163,21.4198784,1148.16357421875,1586.3896609000003,18.28450298309326,7710372489e96c547aebd4c868663c33a8cf62f8ec48557049b7de8b2a6ab1c0,results/logs/phase5_evaluation/predictions/yolo11s_seed42_test_predictions.json.gz
yolo11s,137,yolo11s_rsna_seed137_full,14,19,test,750,268,39,80,229,119,394,0.8757928013801575,0.25,0.5,0.001,100,0.3277310924369748,0.1455223880597015,0.20155038759689922,0.6795333611112085,0.804215038696662,True,,0.13969236100218996,0.045826108358026814,20.55958099999407,36.479342648092704,46.85646534019647,21.34177199965052,21.157699997274904,25.539434999518562,9428179,9428163,21.4198784,1148.16357421875,1937.6164059000002,18.28511333465576,b7677b5343b5d3930616f1b5a530f6005ded88dfc54f7e8fdecbe93e3a04fa19,results/logs/phase5_evaluation/predictions/yolo11s_seed137_test_predictions.json.gz
yolo11s,271,yolo11s_rsna_seed271_full,7,12,test,750,268,0,0,268,0,962,0.04127352312207222,0.25,0.5,0.001,100,0.0,0.0,0.0,,,False,no_detections_at_frozen_score_threshold,0.15872173755300575,0.05557988828743391,20.29192099995271,36.96052236758402,69.58353903918123,14.371215000101074,12.859050000770367,23.672624999380787,9428179,9428163,21.4198784,1148.162109375,1050.1295185000054,18.28425884246826,d89651bf4e94e1d0067b7b7e287cb95b58c5cd136b654a3a1b3a8a8147b3bd53,results/logs/phase5_evaluation/predictions/yolo11s_seed271_test_predictions.json.gz
yolo11s,314,yolo11s_rsna_seed314_full,9,14,test,750,268,19,32,249,51,905,0.47816890478134155,0.25,0.5,0.001,100,0.37254901960784315,0.0708955223880597,0.11912225705329153,0.7028092366629776,0.8207731864644723,True,,0.16153960949518734,0.05042048398189474,20.130599399955827,37.25671477033345,73.0324901110146,13.692535999798565,13.613899998745183,14.840044999436941,9428179,9428163,21.4198784,1148.16357421875,1173.969403799998,18.28450298309326,9d4dfb4b6d5338aa3bd4d9eca8be47cd6d50481d575d4d6dc7b2e979351d86b9,results/logs/phase5_evaluation/predictions/yolo11s_seed314_test_predictions.json.gz
