detector,fp_per_image_budget,seed_count,sensitivity,sensitivity_std,sensitivity_mean_plus_minus_std,achieved_fp_per_image,achieved_fp_per_image_std,selected_threshold_mean,selected_threshold_min,selected_threshold_max,selected_at_candidate_floor_count,candidate_floor_limited_run_count,candidate_floor_limited_seeds,selection_rule
faster_rcnn,0.125,5,0.27761194029850744,0.01008153439261664,0.277612 +/- 0.0100815,0.11893333333333334,0.0035777087639996615,0.7885990023612977,0.6968874335289001,0.8272706270217896,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
faster_rcnn,0.25,5,0.36641791044776123,0.027215794819120096,0.366418 +/- 0.0272158,0.2437333333333333,0.004044200236827488,0.6718838334083557,0.6087976098060608,0.7392812371253967,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
faster_rcnn,0.5,5,0.48582089552238805,0.03092741161955537,0.485821 +/- 0.0309274,0.4826666666666667,0.010583005244258356,0.4459514021873474,0.25469428300857544,0.6083322763442993,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
faster_rcnn,1.0,5,0.5999999999999999,0.020842149319058107,0.6 +/- 0.0208421,0.9770666666666667,0.02525250262625247,0.21499993801116943,0.04716186970472336,0.4047427177429199,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
faster_rcnn,2.0,5,0.6977611940298508,0.019388628442935176,0.697761 +/- 0.0193886,1.924,0.07249214516836368,0.08273149095475674,0.007591942325234413,0.17974644899368286,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
yolo11s,0.125,5,0.1798507462686567,0.018165166335280727,0.179851 +/- 0.0181652,0.12160000000000001,0.0033199732261303253,0.10027378015220165,0.009812114760279655,0.14206071197986603,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
yolo11s,0.25,5,0.2664179104477612,0.030610663137304015,0.266418 +/- 0.0306107,0.24586666666666668,0.0034769079494414053,0.02198401913046837,0.005392459221184254,0.04273446649312973,0,0,,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
yolo11s,0.5,5,0.376865671641791,0.012375465635654467,0.376866 +/- 0.0123755,0.4709333333333333,0.04420558034155116,0.004333715233951807,0.0010440009646117687,0.008673361502587795,0,1,137,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
yolo11s,1.0,5,0.47388059701492546,0.06854915324952925,0.473881 +/- 0.0685492,0.8346666666666668,0.25226617336103985,0.0011854273034259677,0.0010440009646117687,0.0015137799782678485,0,2,42;137,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
yolo11s,2.0,5,0.4798507462686567,0.07390509167292725,0.479851 +/- 0.0739051,0.8968,0.3010686152874642,0.0010395664954558014,0.001006634091027081,0.0010545593686401844,0,5,17;42;137;271;314,per run: maximum observed exact-score sensitivity with FP/image <= budget; no interpolation; ties use fewer FP/image then higher threshold
