analysis,conclusion,n3_run_count,n5_run_count,n3_result,n5_result,n3_directional_margin,n5_directional_margin,classification,seed_271_effect
shared-threshold score scale,YOLO11s has higher precision at score 0.25,3,5,Faster R-CNN=0.162558; YOLO11s=0.373012,Faster R-CNN=0.195891; YOLO11s=0.298317,0.21045390385127338,0.10242622253755357,weakened,YOLO11s seed 271 is retained with zero detections and defined zero metrics at 0.25.
shared-threshold score scale,Faster R-CNN has higher recall at score 0.25,3,5,Faster R-CNN=0.638060; YOLO11s=0.135572,Faster R-CNN=0.579851; YOLO11s=0.095522,0.5024875621890548,0.48432835820895526,weakened,YOLO11s seed 271 is retained with zero detections and defined zero metrics at 0.25.
shared-threshold score scale,Faster R-CNN has higher f1 at score 0.25,3,5,Faster R-CNN=0.255787; YOLO11s=0.198062,Faster R-CNN=0.284526; YOLO11s=0.142661,0.05772485913882555,0.14186487363545486,strengthened,YOLO11s seed 271 is retained with zero detections and defined zero metrics at 0.25.
official precision-recall,Faster R-CNN has higher mean ap50 (threshold-free ranking),3,5,Faster R-CNN=0.308401; YOLO11s=0.164266,Faster R-CNN=0.304224; YOLO11s=0.162612,0.14413442699899484,0.14161186691779054,weakened,YOLO11s seed 271 contributes its observed nonzero AP despite zero detections at 0.25; no curve row is filtered.
official precision-recall,Faster R-CNN has higher mean ap50_95 (threshold-free ranking),3,5,Faster R-CNN=0.102321; YOLO11s=0.054947,Faster R-CNN=0.099502; YOLO11s=0.054168,0.0473742529631778,0.04533321739292646,weakened,YOLO11s seed 271 contributes its observed nonzero AP despite zero detections at 0.25; no curve row is filtered.
official precision-recall,Faster R-CNN leads more official ap50 recall positions,3,5,Faster=96; YOLO=0; ties=5,Faster=97; YOLO=0; ties=4,96.0,97.0,strengthened,Seed 271 contributes its full observed 101-point curve.
official precision-recall,Faster R-CNN leads more official ap50_95 recall positions,3,5,Faster=96; YOLO=1; ties=4,Faster=96; YOLO=1; ties=4,95.0,95.0,unchanged,Seed 271 contributes its full observed 101-point curve.
FROC,Faster R-CNN has higher sensitivity at 0.125 FP/image,3,5,Faster R-CNN=0.269900; YOLO11s=0.180348,Faster R-CNN=0.267164; YOLO11s=0.176119,0.0895522388059701,0.09104477611940301,strengthened,Seed 271 is retained; its best observed point at this budget is selected from the same 0.01--0.99 grid.
FROC,Faster R-CNN has higher sensitivity at 0.25 FP/image,3,5,Faster R-CNN=0.360697; YOLO11s=0.274876,Faster R-CNN=0.364179; YOLO11s=0.245522,0.08582089552238809,0.11865671641791042,strengthened,Seed 271 is retained; its best observed point at this budget is selected from the same 0.01--0.99 grid.
FROC,Faster R-CNN has higher sensitivity at 0.5 FP/image,3,5,Faster R-CNN=0.480100; YOLO11s=0.332090,Faster R-CNN=0.483582; YOLO11s=0.292537,0.1480099502487563,0.19104477611940301,strengthened,Seed 271 is retained; its best observed point at this budget is selected from the same 0.01--0.99 grid.
FROC,Faster R-CNN has higher sensitivity at 1 FP/image,3,5,Faster R-CNN=0.603234; YOLO11s=0.332090,Faster R-CNN=0.597015; YOLO11s=0.292537,0.27114427860696516,0.30447761194029843,strengthened,Seed 271 is retained; its best observed point at this budget is selected from the same 0.01--0.99 grid.
FROC,Faster R-CNN has higher sensitivity at 2 FP/image,3,5,Faster R-CNN=0.692786; YOLO11s=0.332090,Faster R-CNN=0.687313; YOLO11s=0.292537,0.36069651741293535,0.39477611940298507,strengthened,Seed 271 is retained; its best observed point at this budget is selected from the same 0.01--0.99 grid.
frozen validation-selected threshold,Faster R-CNN has higher test precision at 0.69 versus 0.05,3,5,Faster R-CNN=0.354308; YOLO11s=0.309561,Faster R-CNN=0.362419; YOLO11s=0.252403,0.04474714643229377,0.11001610395133027,strengthened,YOLO11s seed 271 is retained with zero detections and defined zero precision/recall/F1 at the unchanged threshold 0.05.
frozen validation-selected threshold,Faster R-CNN has higher test recall at 0.69 versus 0.05,3,5,Faster R-CNN=0.360697; YOLO11s=0.243781,Faster R-CNN=0.350746; YOLO11s=0.194776,0.11691542288557219,0.15597014925373137,strengthened,YOLO11s seed 271 is retained with zero detections and defined zero precision/recall/F1 at the unchanged threshold 0.05.
frozen validation-selected threshold,Faster R-CNN has higher test f1 at 0.69 versus 0.05,3,5,Faster R-CNN=0.349225; YOLO11s=0.271750,Faster R-CNN=0.351144; YOLO11s=0.219206,0.077475094015452,0.13193881525914242,strengthened,YOLO11s seed 271 is retained with zero detections and defined zero precision/recall/F1 at the unchanged threshold 0.05.
Pareto,panel a: neither detector strictly dominates,3,5,neither,neither,,,unchanged,"Seed 271 contributes observed AP, fixed-threshold recall, and same-run hardware metrics to the n=5 cloud."
Pareto,panel b: neither detector strictly dominates,3,5,neither,neither,,,unchanged,"Seed 271 contributes observed AP, fixed-threshold recall, and same-run hardware metrics to the n=5 cloud."
Pareto,panel c: neither detector strictly dominates,3,5,neither,neither,,,unchanged,"Seed 271 contributes observed AP, fixed-threshold recall, and same-run hardware metrics to the n=5 cloud."
Pareto,panel d: neither detector strictly dominates,3,5,neither,neither,,,unchanged,"Seed 271 contributes observed AP, fixed-threshold recall, and same-run hardware metrics to the n=5 cloud."
