detector,seed,run_id,map_50_95,recall,recall_threshold,throughput_fps,mean_latency_ms,total_parameters,estimated_gflops
faster_rcnn,17,faster_rcnn_rsna_seed17_full,0.0983562201940088,0.3880597014925373,0.69,10.99924161328444,90.91535900004601,43256153,450.7637248
faster_rcnn,42,faster_rcnn_rsna_seed42_full,0.10538413110006555,0.40298507462686567,0.69,21.82265379586596,45.82394099976227,43256153,450.7637248
faster_rcnn,137,faster_rcnn_rsna_seed137_full,0.1032238024790173,0.291044776119403,0.69,19.452296093383364,51.40781300055096,43256153,450.7637248
faster_rcnn,271,faster_rcnn_rsna_seed271_full,0.10209005760852218,0.35074626865671643,0.69,25.189607211318666,39.698912000130804,43256153,450.7637248
faster_rcnn,314,faster_rcnn_rsna_seed314_full,0.08845364273590539,0.3208955223880597,0.69,23.911384600007917,41.82108299992251,43256153,450.7637248
yolo11s,17,yolo11s_rsna_seed17_full,0.060693096663705294,0.26119402985074625,0.05,65.23862363925694,15.32834300014656,9428179,21.4198784
yolo11s,42,yolo11s_rsna_seed42_full,0.05832218986182618,0.26119402985074625,0.05,46.73798758971339,21.39587199984817,9428179,21.4198784
yolo11s,137,yolo11s_rsna_seed137_full,0.045826108358026814,0.208955223880597,0.05,46.85646534019647,21.34177199965052,9428179,21.4198784
yolo11s,271,yolo11s_rsna_seed271_full,0.05557988828743391,0.0,0.05,69.58353903918123,14.371215000101074,9428179,21.4198784
yolo11s,314,yolo11s_rsna_seed314_full,0.05042048398189474,0.24253731343283583,0.05,73.0324901110146,13.692535999798565,9428179,21.4198784
