detector,family,corruption,severity,value,unit,metric,clean_performance,corrupted_performance,relative_performance,relative_degradation
faster_rcnn,lighting,darker,1,0.9,multiplier,precision,0.14392523364485982,0.14124293785310735,0.9813632694988627,0.018636730501137344
faster_rcnn,lighting,darker,1,0.9,multiplier,recall,0.6936936936936937,0.6756756756756757,0.974025974025974,0.025974025974025983
faster_rcnn,lighting,darker,1,0.9,multiplier,f1,0.238390092879257,0.2336448598130841,0.9800946716834565,0.019905328316543458
faster_rcnn,lighting,darker,1,0.9,multiplier,iou,0.6920036232087895,0.6949195468495196,1.0042137404240878,-0.004213740424087842
faster_rcnn,lighting,darker,1,0.9,multiplier,dice,0.8131556609292098,0.8155182084540205,1.0029054062319518,-0.0029054062319517904
faster_rcnn,lighting,darker,1,0.9,multiplier,map_50,0.37771312207151386,0.37528747843153387,0.9935780795046862,0.00642192049531376
faster_rcnn,lighting,darker,1,0.9,multiplier,map_50_95,0.1478022331883237,0.15036373403637363,1.0173305963840624,-0.017330596384062424
faster_rcnn,lighting,darker,2,0.8,multiplier,precision,0.14392523364485982,0.14942528735632185,1.0382146589043142,-0.03821465890431419
faster_rcnn,lighting,darker,2,0.8,multiplier,recall,0.6936936936936937,0.7027027027027027,1.012987012987013,-0.012987012987013102
faster_rcnn,lighting,darker,2,0.8,multiplier,f1,0.238390092879257,0.24644549763033177,1.033790853696067,-0.033790853696066936
faster_rcnn,lighting,darker,2,0.8,multiplier,iou,0.6920036232087895,0.6879878603347956,0.9941969048436872,0.005803095156312832
faster_rcnn,lighting,darker,2,0.8,multiplier,dice,0.8131556609292098,0.8100765045293981,0.9962133247694629,0.0037866752305371065
faster_rcnn,lighting,darker,2,0.8,multiplier,map_50,0.37771312207151386,0.3777244134607964,1.0000298940879273,-2.9894087927306856e-05
faster_rcnn,lighting,darker,2,0.8,multiplier,map_50_95,0.1478022331883237,0.15004458654499797,1.0151713090411643,-0.01517130904116426
faster_rcnn,lighting,darker,3,0.7,multiplier,precision,0.14392523364485982,0.142578125,0.9906402191558441,0.009359780844155896
faster_rcnn,lighting,darker,3,0.7,multiplier,recall,0.6936936936936937,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,lighting,darker,3,0.7,multiplier,f1,0.238390092879257,0.23434991974317818,0.9830522607408642,0.01694773925913584
faster_rcnn,lighting,darker,3,0.7,multiplier,iou,0.6920036232087895,0.7000698968806538,1.0116564038125426,-0.011656403812542626
faster_rcnn,lighting,darker,3,0.7,multiplier,dice,0.8131556609292098,0.8190437308998196,1.0072410120884867,-0.007241012088486709
faster_rcnn,lighting,darker,3,0.7,multiplier,map_50,0.37771312207151386,0.35495763036673683,0.9397545640459146,0.06024543595408538
faster_rcnn,lighting,darker,3,0.7,multiplier,map_50_95,0.1478022331883237,0.14330857682132567,0.9695968303721609,0.030403169627839066
faster_rcnn,lighting,darker,4,0.6,multiplier,precision,0.14392523364485982,0.14792899408284024,1.0278183355106432,-0.027818335510643166
faster_rcnn,lighting,darker,4,0.6,multiplier,recall,0.6936936936936937,0.6756756756756757,0.974025974025974,0.025974025974025983
faster_rcnn,lighting,darker,4,0.6,multiplier,f1,0.238390092879257,0.24271844660194178,1.0181566006808724,-0.018156600680872437
faster_rcnn,lighting,darker,4,0.6,multiplier,iou,0.6920036232087895,0.6919549231386076,0.9999296245445132,7.037545548682633e-05
faster_rcnn,lighting,darker,4,0.6,multiplier,dice,0.8131556609292098,0.8128274071130901,0.9995963210589415,0.0004036789410585273
faster_rcnn,lighting,darker,4,0.6,multiplier,map_50,0.37771312207151386,0.3275667538237673,0.8672368913933254,0.13276310860667462
faster_rcnn,lighting,darker,4,0.6,multiplier,map_50_95,0.1478022331883237,0.13249167146600893,0.8964118376830839,0.10358816231691614
faster_rcnn,lighting,darker,5,0.5,multiplier,precision,0.14392523364485982,0.15074309978768577,1.0473708881352193,-0.04737088813521928
faster_rcnn,lighting,darker,5,0.5,multiplier,recall,0.6936936936936937,0.6396396396396397,0.922077922077922,0.07792207792207795
faster_rcnn,lighting,darker,5,0.5,multiplier,f1,0.238390092879257,0.24398625429553264,1.0234748069799615,-0.023474806979961516
faster_rcnn,lighting,darker,5,0.5,multiplier,iou,0.6920036232087895,0.699990016868642,1.0115409708735628,-0.011540970873562761
faster_rcnn,lighting,darker,5,0.5,multiplier,dice,0.8131556609292098,0.8189750023156148,1.0071564912673119,-0.007156491267311882
faster_rcnn,lighting,darker,5,0.5,multiplier,map_50,0.37771312207151386,0.31557806099062835,0.8354966839909754,0.16450331600902457
faster_rcnn,lighting,darker,5,0.5,multiplier,map_50_95,0.1478022331883237,0.12820180952385116,0.8673874998931954,0.1326125001068046
faster_rcnn,lighting,brighter,1,1.1,multiplier,precision,0.14392523364485982,0.13966480446927373,0.9703983167670318,0.02960168323296819
faster_rcnn,lighting,brighter,1,1.1,multiplier,recall,0.6936936936936937,0.6756756756756757,0.974025974025974,0.025974025974025983
faster_rcnn,lighting,brighter,1,1.1,multiplier,f1,0.238390092879257,0.23148148148148145,0.9710197210197208,0.028980278980279217
faster_rcnn,lighting,brighter,1,1.1,multiplier,iou,0.6920036232087895,0.6918714330952356,0.9998089748245234,0.00019102517547664455
faster_rcnn,lighting,brighter,1,1.1,multiplier,dice,0.8131556609292098,0.8130919326193174,0.9999216284003736,7.837159962642559e-05
faster_rcnn,lighting,brighter,1,1.1,multiplier,map_50,0.37771312207151386,0.3685571258859183,0.9757593907900769,0.024240609209923103
faster_rcnn,lighting,brighter,1,1.1,multiplier,map_50_95,0.1478022331883237,0.14262501881174247,0.9649720152063966,0.03502798479360336
faster_rcnn,lighting,brighter,2,1.2,multiplier,precision,0.14392523364485982,0.1391465677179963,0.9667975808977665,0.03320241910223354
faster_rcnn,lighting,brighter,2,1.2,multiplier,recall,0.6936936936936937,0.6756756756756757,0.974025974025974,0.025974025974025983
faster_rcnn,lighting,brighter,2,1.2,multiplier,f1,0.238390092879257,0.2307692307692308,0.9680319680319681,0.031968031968031885
faster_rcnn,lighting,brighter,2,1.2,multiplier,iou,0.6920036232087895,0.6815834579763675,0.9849420365978662,0.015057963402133834
faster_rcnn,lighting,brighter,2,1.2,multiplier,dice,0.8131556609292098,0.805881275507683,0.9910541292755507,0.0089458707244493
