detector,seed,metric,endpoint_conditioning,estimate,defined,image_count,patient_group_count,seed_271_role
faster_rcnn,17,precision,unconditional,0.13165905631659056,True,750,323,Ordinary retained trained run.
faster_rcnn,17,recall,unconditional,0.6455223880597015,True,750,323,Ordinary retained trained run.
faster_rcnn,17,f1,unconditional,0.21871049304677623,True,750,323,Ordinary retained trained run.
faster_rcnn,17,iou,conditional_on_matched_detection,0.6727877542452775,True,750,323,Ordinary retained trained run.
faster_rcnn,17,dice,conditional_on_matched_detection,0.7996961105685069,True,750,323,Ordinary retained trained run.
faster_rcnn,17,map_50,unconditional,0.2955726614421415,True,750,323,Ordinary retained trained run.
faster_rcnn,17,map_50_95,unconditional,0.09835622019400879,True,750,323,Ordinary retained trained run.
faster_rcnn,42,precision,unconditional,0.21282401091405184,True,750,323,Ordinary retained trained run.
faster_rcnn,42,recall,unconditional,0.582089552238806,True,750,323,Ordinary retained trained run.
faster_rcnn,42,f1,unconditional,0.3116883116883117,True,750,323,Ordinary retained trained run.
faster_rcnn,42,iou,conditional_on_matched_detection,0.6817770297555672,True,750,323,Ordinary retained trained run.
faster_rcnn,42,dice,conditional_on_matched_detection,0.8062480833465773,True,750,323,Ordinary retained trained run.
faster_rcnn,42,map_50,unconditional,0.30954831060054333,True,750,323,Ordinary retained trained run.
faster_rcnn,42,map_50_95,unconditional,0.10538413110006557,True,750,323,Ordinary retained trained run.
faster_rcnn,137,precision,unconditional,0.1431906614785992,True,750,323,Ordinary retained trained run.
faster_rcnn,137,recall,unconditional,0.6865671641791045,True,750,323,Ordinary retained trained run.
faster_rcnn,137,f1,unconditional,0.23696072118480363,True,750,323,Ordinary retained trained run.
faster_rcnn,137,iou,conditional_on_matched_detection,0.6650209043770866,True,750,323,Ordinary retained trained run.
faster_rcnn,137,dice,conditional_on_matched_detection,0.7932969496231345,True,750,323,Ordinary retained trained run.
faster_rcnn,137,map_50,unconditional,0.3200806628353708,True,750,323,Ordinary retained trained run.
faster_rcnn,137,map_50_95,unconditional,0.10322380247901727,True,750,323,Ordinary retained trained run.
faster_rcnn,271,precision,unconditional,0.24479166666666666,True,750,323,Retained as an observed trained run for this endpoint.
faster_rcnn,271,recall,unconditional,0.5261194029850746,True,750,323,Retained as an observed trained run for this endpoint.
