scope,condition_id,family,corruption,severity,estimand,metric,unit,detector_a,detector_b,image_count,patient_group_count,seed_count,confidence_level,detector_a_estimate,detector_a_ci_low,detector_a_ci_high,detector_b_estimate,detector_b_ci_low,detector_b_ci_high,difference_a_minus_b,difference_ci_low,difference_ci_high,bootstrap_resamples,bootstrap_valid_a,bootstrap_valid_b,bootstrap_valid_difference,test_name,permutation_resamples,permutation_valid,p_value_raw,p_value_holm,holm_family_size,effect_size_name,effect_size,effect_size_n,status,reason
phase6_primary_seed_robustness,clean,clean,clean,0,raw,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.14392523364485982,0.09523587420042644,0.19115288076763098,0.4634146341463415,0.2727272727272727,0.627906976744186,-0.31948940050148167,-0.4764611465209306,-0.15632135612865836,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.0013997200559888023,7,paired_raw_difference,-0.31948940050148167,183,complete,
phase6_primary_seed_robustness,clean,clean,clean,0,raw,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6936936936936937,0.5882352941176471,0.7840078431372549,0.17117117117117117,0.09006998069498072,0.232,0.5225225225225225,0.4203800750220655,0.6271321673278037,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.0013997200559888023,7,paired_raw_difference,0.5225225225225225,183,complete,
phase6_primary_seed_robustness,clean,clean,clean,0,raw,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.238390092879257,0.1648362118359663,0.3043041086683528,0.25,0.13998837209302328,0.3295090486671557,-0.011609907120743002,-0.09601017794454425,0.07774398639666806,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.8324335132973405,1.0,7,paired_raw_difference,-0.011609907120743002,183,complete,
phase6_primary_seed_robustness,clean,clean,clean,0,raw,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6920036232087895,0.6649916703643662,0.7156514182741386,0.6940811341732323,0.6545800418945396,0.744038289005831,-0.0020775109644427525,-0.05632572010684656,0.04225262796344522,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.9234153169366127,1.0,7,paired_raw_difference,-0.0020775109644427525,183,complete,
phase6_primary_seed_robustness,clean,clean,clean,0,raw,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.8131556609292098,0.7934757876705588,0.8292804157500225,0.81434881788263,0.7881101100824078,0.8492698824163307,-0.0011931569534202602,-0.04065393940408429,0.028704967745236152,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.9416116776644671,1.0,7,paired_raw_difference,-0.0011931569534202602,183,complete,
phase6_primary_seed_robustness,clean,clean,clean,0,raw,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.37771312207151386,0.248365748112639,0.5010442766404438,0.2112858029314436,0.11104285641854096,0.31133354357283605,0.16642731914007025,0.08949405631540465,0.24416483508235629,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.16716656668666266,0.7618476304739052,7,paired_raw_difference,0.16642731914007025,183,complete,
phase6_primary_seed_robustness,clean,clean,clean,0,raw,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.1478022331883237,0.09309075049480453,0.2112163305190213,0.0762947405033698,0.03801249932460397,0.11753962386850728,0.07150749268495389,0.03682777851684996,0.11974048178447563,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.15236952609478105,0.7618476304739052,7,paired_raw_difference,0.07150749268495389,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.14124293785310735,0.09050747655149681,0.1893421152466615,0.48717948717948717,0.26666666666666666,0.696969696969697,-0.34593654932637985,-0.5523031949934123,-0.161845223299362,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,-0.34593654932637985,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6756756756756757,0.5662388685175486,0.7652275815217391,0.17117117117117117,0.08330882352941181,0.24175824175824176,0.5045045045045045,0.4181780923994039,0.5833333333333334,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,0.5045045045045045,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.2336448598130841,0.1571790978446041,0.3012388250319285,0.25333333333333335,0.12961469534050182,0.3444540229885057,-0.019688473520249244,-0.10409455484045205,0.0773249464362547,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.6982603479304139,1.0,35,paired_raw_difference,-0.019688473520249244,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.6949195468495196,0.670181198489334,0.7178986627735128,0.722946033745096,0.6834703867118971,0.7494030895255933,-0.028026486895576408,-0.06381048290572093,0.019114097846771875,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.15116976604679064,1.0,34,paired_raw_difference,-0.028026486895576408,183,complete,
