detector,threshold,seed_count,precision,precision_std,precision_mean_plus_minus_std,recall,recall_std,recall_mean_plus_minus_std,f1,f1_std,f1_mean_plus_minus_std
faster_rcnn,0.01,3,0.0499297696571428,0.025855890672885695,0.0499298 ± 0.0258559,0.8532338308457712,0.06719871969771193,0.853234 ± 0.0671987,0.09314303856977602,0.044711904349952036,0.093143 ± 0.0447119
faster_rcnn,0.02,3,0.06408681012542261,0.030195819060142494,0.0640868 ± 0.0301958,0.812189054726368,0.06688721223755598,0.812189 ± 0.0668872,0.11711614036282382,0.049690630831165684,0.117116 ± 0.0496906
faster_rcnn,0.03,3,0.07368900966683005,0.03162564447423649,0.073689 ± 0.0316256,0.7922885572139303,0.07219289483050469,0.792289 ± 0.0721929,0.1328882554815024,0.05016681787419939,0.132888 ± 0.0501668
faster_rcnn,0.04,3,0.08134351234507604,0.03279109745670304,0.0813435 ± 0.0327911,0.7723880597014925,0.07791273514112347,0.772388 ± 0.0779127,0.14496838178262125,0.0502625457261531,0.144968 ± 0.0502625
faster_rcnn,0.05,3,0.08812556051422031,0.034304643812227295,0.0881256 ± 0.0343046,0.7649253731343283,0.0754617478214802,0.764925 ± 0.0754617,0.1556617568070431,0.051415634874846065,0.155662 ± 0.0514156
faster_rcnn,0.06,3,0.0934925325658333,0.03520515384855253,0.0934925 ± 0.0352052,0.7524875621890548,0.0775844287251278,0.752488 ± 0.0775844,0.16374813732231944,0.05149242369609838,0.163748 ± 0.0514924
faster_rcnn,0.07,3,0.09804246142303219,0.03761776462548411,0.0980425 ± 0.0376178,0.7313432835820896,0.06849835727867838,0.731343 ± 0.0684984,0.17011372559422552,0.054089116081698495,0.170114 ± 0.0540891
faster_rcnn,0.08,3,0.10282903836764308,0.03780808248178517,0.102829 ± 0.0378081,0.7263681592039801,0.07122208110557413,0.726368 ± 0.0712221,0.17727482121713992,0.053270551342790864,0.177275 ± 0.0532706
faster_rcnn,0.09,3,0.10754331122903034,0.0379218234135413,0.107543 ± 0.0379218,0.7213930348258706,0.07276916654880632,0.721393 ± 0.0727692,0.1842212439544231,0.05233038810118697,0.184221 ± 0.0523304
faster_rcnn,0.1,3,0.11239709439899775,0.0381892029855469,0.112397 ± 0.0381892,0.7139303482587064,0.07334091038709238,0.71393 ± 0.0733409,0.19118572274228854,0.05160715263875837,0.191186 ± 0.0516072
faster_rcnn,0.11,3,0.11585605635467895,0.03884474944980809,0.115856 ± 0.0388447,0.7027363184079602,0.07334091038709238,0.702736 ± 0.0733409,0.1957497133819023,0.05150706616078956,0.19575 ± 0.0515071
faster_rcnn,0.12,3,0.12007719653140353,0.03863057073637226,0.120077 ± 0.0386306,0.6990049751243781,0.07276916654880637,0.699005 ± 0.0727692,0.20178378492119112,0.050309912257294045,0.201784 ± 0.0503099
faster_rcnn,0.13,3,0.12390610823620106,0.03928550081434868,0.123906 ± 0.0392855,0.6927860696517413,0.07063318838060041,0.692786 ± 0.0706332,0.20699092495633298,0.05042112840638859,0.206991 ± 0.0504211
faster_rcnn,0.14,3,0.1275223917028173,0.04235910663468416,0.127522 ± 0.0423591,0.681592039800995,0.06423259369987741,0.681592 ± 0.0642326,0.2113548982598665,0.05386708604930597,0.211355 ± 0.0538671
faster_rcnn,0.15,3,0.1308603283624706,0.043722478104027365,0.13086 ± 0.0437225,0.6753731343283582,0.060050287087429384,0.675373 ± 0.0600503,0.21569683521392913,0.05520236865984881,0.215697 ± 0.0552024
faster_rcnn,0.16,3,0.13428583192048954,0.043957593339461816,0.134286 ± 0.0439576,0.6716417910447761,0.05646546996425951,0.671642 ± 0.0564655,0.22032772173416784,0.0549654451432092,0.220328 ± 0.0549654
faster_rcnn,0.17,3,0.13801631863545324,0.04501720040252225,0.138016 ± 0.0450172,0.6666666666666666,0.056997210136266664,0.666667 ± 0.0569972,0.22508577525012127,0.05555109528802299,0.225086 ± 0.0555511
faster_rcnn,0.18,3,0.14097238424044653,0.043493413606377714,0.140972 ± 0.0434934,0.6616915422885572,0.06157658604222171,0.661692 ± 0.0615766,0.22883977493777896,0.05237074970523598,0.22884 ± 0.0523707
faster_rcnn,0.19,3,0.14347509324656424,0.04397091475919589,0.143475 ± 0.0439709,0.6542288557213931,0.060320177378020604,0.654229 ± 0.0603202,0.23176497291720524,0.052531279812333215,0.231765 ± 0.0525313
faster_rcnn,0.2,3,0.14595369953033546,0.04426958021168541,0.145954 ± 0.0442696,0.6467661691542288,0.059740348052352385,0.646766 ± 0.0597403,0.23464130784874934,0.05258441813850093,0.234641 ± 0.0525844
faster_rcnn,0.21,3,0.14926579354457628,0.044637362074612934,0.149266 ± 0.0446374,0.6442786069651741,0.05613574177311819,0.644279 ± 0.0561357,0.23887474176519127,0.052479220913353976,0.238875 ± 0.0524792
faster_rcnn,0.22,3,0.15301215683280792,0.04497945548569264,0.153012 ± 0.0449795,0.6430348258706468,0.05437187312038408,0.643035 ± 0.0543719,0.2436947278590226,0.05222386854919814,0.243695 ± 0.0522239
faster_rcnn,0.23,3,0.15619637072546652,0.04439818598796007,0.156196 ± 0.0443982,0.6405472636815921,0.052416187825138044,0.640547 ± 0.0524162,0.24779036550849587,0.05113122244636743,0.24779 ± 0.0511312
faster_rcnn,0.24,3,0.15899595109321427,0.043270795423517035,0.158996 ± 0.0432708,0.6380597014925373,0.05263707455099209,0.63806 ± 0.0526371,0.2513011562786047,0.04910086375031214,0.251301 ± 0.0491009
faster_rcnn,0.25,3,0.1625579095697472,0.043911902574017954,0.162558 ± 0.0439119,0.6380597014925373,0.05263707455099209,0.63806 ± 0.0526371,0.2557865086399638,0.04926485963457843,0.255787 ± 0.0492649
faster_rcnn,0.26,3,0.16628266801887515,0.04386539240929806,0.166283 ± 0.0438654,0.6368159203980099,0.05241618782513799,0.636816 ± 0.0524162,0.260449757871101,0.048746617842282444,0.26045 ± 0.0487466
faster_rcnn,0.27,3,0.1698939120409788,0.04429605250554549,0.169894 ± 0.0442961,0.6343283582089553,0.05047667633756972,0.634328 ± 0.0504767,0.2647848045614652,0.04885854736323952,0.264785 ± 0.0488585
faster_rcnn,0.28,3,0.17230260963574337,0.044480049933193884,0.172303 ± 0.04448,0.6268656716417911,0.05047667633756972,0.626866 ± 0.0504767,0.2670505892554966,0.04835948359333261,0.267051 ± 0.0483595
faster_rcnn,0.29,3,0.17499323369104178,0.04415905058725339,0.174993 ± 0.0441591,0.6243781094527363,0.050384649503803725,0.624378 ± 0.0503846,0.2702539076234342,0.04800244194433099,0.270254 ± 0.0480024
faster_rcnn,0.3,3,0.17744912511240396,0.04318692476295481,0.177449 ± 0.0431869,0.6206467661691542,0.048555276855579914,0.620647 ± 0.0485553,0.27295917425842836,0.046148848453580305,0.272959 ± 0.0461488
faster_rcnn,0.31,3,0.18039573395246047,0.04279053930368439,0.180396 ± 0.0427905,0.6169154228855721,0.043247111071427126,0.616915 ± 0.0432471,0.27625678918782365,0.04523150954917834,0.276257 ± 0.0452315
faster_rcnn,0.32,3,0.18203525441903348,0.04032509841483752,0.182035 ± 0.0403251,0.6082089552238806,0.04399188851698361,0.608209 ± 0.0439919,0.27745030887310995,0.041402750871179665,0.27745 ± 0.0414028
faster_rcnn,0.33,3,0.1858139843571842,0.04031572009883084,0.185814 ± 0.0403157,0.6044776119402985,0.04155048031962704,0.604478 ± 0.0415505,0.28162066947017195,0.04127077495713394,0.281621 ± 0.0412708
faster_rcnn,0.34,3,0.18866377126099734,0.03931364784602131,0.188664 ± 0.0393136,0.6019900497512438,0.045597768109013295,0.60199 ± 0.0455978,0.28462369282033706,0.03911823010210233,0.284624 ± 0.0391182
faster_rcnn,0.35,3,0.19141572192343395,0.03794535580687503,0.191416 ± 0.0379454,0.595771144278607,0.04513743112344291,0.595771 ± 0.0451374,0.28714061953242026,0.03659422034821359,0.287141 ± 0.0365942
faster_rcnn,0.36,3,0.19439796141499743,0.03929089038144546,0.194398 ± 0.0392909,0.5883084577114427,0.044516244199436034,0.588308 ± 0.0445162,0.2894685469731304,0.037139502698187846,0.289469 ± 0.0371395
faster_rcnn,0.37,3,0.196168183313553,0.037811267063657124,0.196168 ± 0.0378113,0.5808457711442786,0.047978361994989796,0.580846 ± 0.0479784,0.2905491469693308,0.03467504380582802,0.290549 ± 0.034675
faster_rcnn,0.38,3,0.19952167403869478,0.03783285137443763,0.199522 ± 0.0378329,0.5771144278606966,0.0460535039342627,0.577114 ± 0.0460535,0.29394421175668933,0.03502110042983634,0.293944 ± 0.0350211
faster_rcnn,0.39,3,0.20410360173171627,0.037599280662311343,0.204104 ± 0.0375993,0.5746268656716418,0.04763860199553621,0.574627 ± 0.0476386,0.2986543457924699,0.03429283979988372,0.298654 ± 0.0342928
faster_rcnn,0.4,3,0.20794724905782722,0.037305289888683354,0.207947 ± 0.0373053,0.572139303482587,0.04451624419943606,0.572139 ± 0.0445162,0.30255761685479254,0.03351308926368138,0.302558 ± 0.0335131
faster_rcnn,0.41,3,0.21103718045065037,0.0361839352095252,0.211037 ± 0.0361839,0.568407960199005,0.045597768109013344,0.568408 ± 0.0455978,0.3054822304474738,0.03256906863350637,0.305482 ± 0.0325691
faster_rcnn,0.42,3,0.21417880199121284,0.03630074617391728,0.214179 ± 0.0363007,0.5659203980099502,0.04356786041825122,0.56592 ± 0.0435679,0.3084878169117313,0.03227622962080755,0.308488 ± 0.0322762
faster_rcnn,0.43,3,0.219199352726592,0.03806142052801409,0.219199 ± 0.0380614,0.5609452736318409,0.04324711107142712,0.560945 ± 0.0432471,0.3128601921447817,0.033562129024243686,0.31286 ± 0.0335621
faster_rcnn,0.44,3,0.2233825199167092,0.03579084626093994,0.223383 ± 0.0357908,0.5572139303482587,0.04324711107142713,0.557214 ± 0.0432471,0.3167590168061421,0.03076542814895366,0.316759 ± 0.0307654
faster_rcnn,0.45,3,0.2256159020775105,0.03681673911235932,0.225616 ± 0.0368167,0.5522388059701492,0.04303194998011489,0.552239 ± 0.0430319,0.31835623338842,0.033314968442692716,0.318356 ± 0.033315
faster_rcnn,0.46,3,0.2281316468727055,0.03689898848732954,0.228132 ± 0.036899,0.5460199004975125,0.039193908598479404,0.54602 ± 0.0391939,0.31982875373065217,0.03250575648757463,0.319829 ± 0.0325058
faster_rcnn,0.47,3,0.23271843988613083,0.037737033612318,0.232718 ± 0.037737,0.5435323383084577,0.03737557015252915,0.543532 ± 0.0373756,0.3239459348825493,0.033108626611819375,0.323946 ± 0.0331086
faster_rcnn,0.48,3,0.235969358448627,0.03657241651533524,0.235969 ± 0.0365724,0.5360696517412936,0.033651117558379844,0.53607 ± 0.0336511,0.3259339621644859,0.03180456343758025,0.325934 ± 0.0318046
faster_rcnn,0.49,3,0.23943698294917415,0.03678571506777419,0.239437 ± 0.0367857,0.5298507462686568,0.028171024012204293,0.529851 ± 0.028171,0.3280752227455676,0.031061887422683107,0.328075 ± 0.0310619
faster_rcnn,0.5,3,0.24097883927090002,0.03445407574548794,0.240979 ± 0.0344541,0.5248756218905473,0.02539872867744049,0.524876 ± 0.0253987,0.32869871879440965,0.027965574062113092,0.328699 ± 0.0279656
faster_rcnn,0.51,3,0.247049819276307,0.03277868860814734,0.24705 ± 0.0327787,0.5223880597014925,0.02611940298507463,0.522388 ± 0.0261194,0.33394636486140433,0.02580337673975573,0.333946 ± 0.0258034
faster_rcnn,0.52,3,0.2488136091773703,0.03250930535387849,0.248814 ± 0.0325093,0.5124378109452736,0.02055063637047056,0.512438 ± 0.0205506,0.3335661561524595,0.024751722683725594,0.333566 ± 0.0247517
faster_rcnn,0.53,3,0.2531804350078776,0.03432677058735914,0.25318 ± 0.0343268,0.5049751243781094,0.01682555877918987,0.504975 ± 0.0168256,0.33585027976855414,0.026544119190401252,0.33585 ± 0.0265441
faster_rcnn,0.54,3,0.2571897335235333,0.033070371310703554,0.25719 ± 0.0330704,0.4975124378109453,0.018780682674802884,0.497512 ± 0.0187807,0.33768473702389556,0.024710535749978276,0.337685 ± 0.0247105
faster_rcnn,0.55,3,0.2618340327072757,0.03565380895423747,0.261834 ± 0.0356538,0.4888059701492537,0.014925373134328346,0.488806 ± 0.0149254,0.3395631380047643,0.027426653899143314,0.339563 ± 0.0274267
faster_rcnn,0.56,3,0.26387002350855304,0.034720165647194504,0.26387 ± 0.0347202,0.4788557213930349,0.011399442027253336,0.478856 ± 0.0113994,0.3390080641171524,0.02707898966979886,0.339008 ± 0.027079
faster_rcnn,0.57,3,0.26719457492713145,0.03607020792859748,0.267195 ± 0.0360702,0.47139303482587064,0.007767410445769143,0.471393 ± 0.00776741,0.33988105155955056,0.02868070495668405,0.339881 ± 0.0286807
faster_rcnn,0.58,3,0.27278212723938494,0.035685357475411315,0.272782 ± 0.0356854,0.4639303482587065,0.005699721013626684,0.46393 ± 0.00569972,0.3424444243472686,0.02780620099749811,0.342444 ± 0.0278062
faster_rcnn,0.59,3,0.27775238253609386,0.03483974536075262,0.277752 ± 0.0348397,0.4577114427860696,0.007767410445769153,0.457711 ± 0.00776741,0.34460380616793723,0.02588283765152368,0.344604 ± 0.0258828
faster_rcnn,0.6,3,0.2829770147587382,0.037249581815362594,0.282977 ± 0.0372496,0.4465174129353234,0.008617168196860111,0.446517 ± 0.00861717,0.34523974106444055,0.02722430332145825,0.34524 ± 0.0272243
faster_rcnn,0.61,3,0.29073057928484203,0.03826650257327276,0.290731 ± 0.0382665,0.43905472636815923,0.015534820891538318,0.439055 ± 0.0155348,0.34854159070044094,0.027098571272315485,0.348542 ± 0.0270986
