detector,threshold,seed_count,precision,precision_std,precision_mean_plus_minus_std,recall,recall_std,recall_mean_plus_minus_std,f1,f1_std,f1_mean_plus_minus_std
faster_rcnn,0.01,5,0.07169185729746064,0.03593304655491516,0.0716919 ± 0.035933,0.791044776119403,0.10337235206861993,0.791045 ± 0.103372,0.12822354686873072,0.058622782646428576,0.128224 ± 0.0586228
faster_rcnn,0.02,5,0.08937926303192004,0.0416163669994963,0.0893793 ± 0.0416164,0.7514925373134329,0.10159263062575186,0.751493 ± 0.101593,0.15532478366962388,0.06388872989140919,0.155325 ± 0.0638887
faster_rcnn,0.03,5,0.10104569638948013,0.0443934887933343,0.101046 ± 0.0443935,0.7335820895522389,0.1031228798967957,0.733582 ± 0.103123,0.1725007259376961,0.06535597880519017,0.172501 ± 0.065356
faster_rcnn,0.04,5,0.11015935981912155,0.04638021029765825,0.110159 ± 0.0463802,0.7149253731343284,0.10244559107745742,0.714925 ± 0.102446,0.18527478877686984,0.06601224427950485,0.185275 ± 0.0660122
faster_rcnn,0.05,5,0.11705321310701058,0.04708915418573955,0.117053 ± 0.0470892,0.7037313432835821,0.10509545460131464,0.703731 ± 0.105095,0.1947248346192222,0.06502449991127618,0.194725 ± 0.0650245
faster_rcnn,0.06,5,0.1237970891039836,0.04882054435124009,0.123797 ± 0.0488205,0.6917910447761194,0.10621555565808545,0.691791 ± 0.106216,0.20352780626158812,0.06565803477414565,0.203528 ± 0.065658
faster_rcnn,0.07,5,0.12976982027265288,0.05151634229765002,0.12977 ± 0.0515163,0.6738805970149253,0.0964608171247027,0.673881 ± 0.0964608,0.21074495547555835,0.06778653379438018,0.210745 ± 0.0677865
faster_rcnn,0.08,5,0.13565549109630098,0.0528028705156954,0.135655 ± 0.0528029,0.667910447761194,0.09783664628452905,0.66791 ± 0.0978366,0.21825576004046043,0.06780316440465822,0.218256 ± 0.0678032
faster_rcnn,0.09,5,0.14039641058155508,0.05285124983921793,0.140396 ± 0.0528512,0.6634328358208954,0.09785087603462751,0.663433 ± 0.0978509,0.22442899430904442,0.06652103027671477,0.224429 ± 0.066521
faster_rcnn,0.1,5,0.14538146982188824,0.053096891487810986,0.145381 ± 0.0530969,0.655223880597015,0.09856680709048743,0.655224 ± 0.0985668,0.2304655094483095,0.06516830506899851,0.230466 ± 0.0651683
faster_rcnn,0.11,5,0.14996856912836737,0.05457334237995154,0.149969 ± 0.0545733,0.646268656716418,0.09518217165439394,0.646269 ± 0.0951822,0.23571588672959426,0.0658752839643933,0.235716 ± 0.0658753
faster_rcnn,0.12,5,0.1540396925407635,0.054288342105942036,0.15404 ± 0.0542883,0.6402985074626866,0.0977512242837098,0.640299 ± 0.0977512,0.24044378099043576,0.06387516599648295,0.240444 ± 0.0638752
faster_rcnn,0.13,5,0.15762021902092566,0.05420859204259356,0.15762 ± 0.0542086,0.6343283582089553,0.09697904043557481,0.634328 ± 0.096979,0.24457600329199797,0.06267309433201097,0.244576 ± 0.0626731
faster_rcnn,0.14,5,0.16193384691981863,0.05615580466815267,0.161934 ± 0.0561558,0.6261194029850745,0.0912998018642428,0.626119 ± 0.0912998,0.2491852658744121,0.06435029808121444,0.249185 ± 0.0643503
faster_rcnn,0.15,5,0.16551452477667966,0.056935283385489706,0.165515 ± 0.0569353,0.6208955223880597,0.08941998941272371,0.620896 ± 0.08942,0.2531283410002786,0.06445058597422927,0.253128 ± 0.0644506
faster_rcnn,0.16,5,0.16917093959802415,0.05714883214350798,0.169171 ± 0.0571488,0.6171641791044775,0.08824449368698661,0.617164 ± 0.0882445,0.25731707744994725,0.06384357278979197,0.257317 ± 0.0638436
faster_rcnn,0.17,5,0.17181734523180597,0.05627413967961304,0.171817 ± 0.0562741,0.6104477611940299,0.09161188680253077,0.610448 ± 0.0916119,0.25989618564696715,0.0617929583723817,0.259896 ± 0.061793
faster_rcnn,0.18,5,0.17547048518850575,0.05642794592878417,0.17547 ± 0.0564279,0.6074626865671642,0.09084115963730531,0.607463 ± 0.0908412,0.2640140966493648,0.06081745281709902,0.264014 ± 0.0608175
faster_rcnn,0.19,5,0.17943627638145077,0.05825401541756629,0.179436 ± 0.058254,0.6022388059701493,0.08836274695889963,0.602239 ± 0.0883627,0.26802400759769995,0.06216355503817831,0.268024 ± 0.0621636
faster_rcnn,0.2,5,0.18187286666241603,0.058370363526487515,0.181873 ± 0.0583704,0.5955223880597015,0.08604772101470473,0.595522 ± 0.0860477,0.2702272483395961,0.061344381386521124,0.270227 ± 0.0613444
faster_rcnn,0.21,5,0.18432779246701858,0.057528536320019204,0.184328 ± 0.0575285,0.5902985074626865,0.0875634257601494,0.590299 ± 0.0875634,0.2724756127763418,0.059157894475777247,0.272476 ± 0.0591579
faster_rcnn,0.22,5,0.18756068212234828,0.05717690797980589,0.187561 ± 0.0571769,0.5888059701492537,0.0869250835447038,0.588806 ± 0.0869251,0.2760987518374346,0.0577330285461089,0.276099 ± 0.057733
faster_rcnn,0.23,5,0.18987032775413423,0.05582971077192483,0.18987 ± 0.0558297,0.5835820895522389,0.0899245989933855,0.583582 ± 0.0899246,0.2781811249314061,0.05522215204276012,0.278181 ± 0.0552222
faster_rcnn,0.24,5,0.19256062706309213,0.055244991052003006,0.192561 ± 0.055245,0.5813432835820895,0.08933431195012191,0.581343 ± 0.0893343,0.2810696816844589,0.05365617558086938,0.28107 ± 0.0536562
