dataset,estimand,metric,bootstrap_resamples,a_estimate,a_ci_low,a_ci_high,a_valid,a_undefined,b_estimate,b_ci_low,b_ci_high,b_valid,b_undefined,difference_estimate,difference_ci_low,difference_ci_high,difference_valid,difference_undefined,reason
internal,training_procedure,ap50,2000,0.3042238071036434,0.2392621729680538,0.3723014451898895,2000,0,0.16261194018585284,0.10690229268223295,0.2252348717292351,2000,0,0.14161186691779054,0.10272320862119061,0.18126591918626297,2000,0,
internal,training_procedure,ap50_95,2000,0.09950157082350383,0.07235088033889746,0.1288440879876289,2000,0,0.054168353430577396,0.032679223558318655,0.07934386191353267,2000,0,0.045333217392926436,0.031862284820303476,0.06079650114243929,2000,0,
internal,training_procedure,froc_0.125,2000,0.27761194029850744,0.21127166433031733,0.34636796417408655,2000,0,0.1798507462686567,0.1278367139959432,0.23902669846887747,2000,0,0.09776119402985073,0.05247484174646972,0.13755263157894737,2000,0,
internal,training_procedure,froc_0.25,2000,0.36641791044776123,0.2973340209799639,0.438890350877193,2000,0,0.2664179104477612,0.20545331695331698,0.3325002572016461,2000,0,0.10000000000000003,0.04956681350954487,0.1444444444444444,2000,0,
internal,training_procedure,froc_0.5,2000,0.48582089552238805,0.4161520100502512,0.5515548896214165,2000,0,0.382089552238806,0.3210856370192308,0.44210526315789467,2000,0,0.10373134328358208,0.0585273539986396,0.1508134762158325,2000,0,
internal,training_procedure,froc_1,2000,0.5999999999999999,0.535118101294572,0.655114135572485,2000,0,0.5074626865671641,0.4452151616499443,0.5616280451574568,2000,0,0.09253731343283578,0.04859694568603563,0.14123287137963247,2000,0,
internal,training_procedure,froc_2,2000,0.6977611940298508,0.6412174556642382,0.7502079190548602,2000,0,0.608955223880597,0.5481400966183575,0.6678615339578454,2000,0,0.08880597014925384,0.04084377324802855,0.13967318435754186,2000,0,
internal,training_procedure,primary_precision,2000,0.36241949982431737,0.28659228197906705,0.4384127970747299,2000,0,0.2524033958729871,0.11870219202980406,0.3612067222280009,2000,0,0.11001610395133027,0.004747199622885506,0.25268596335460025,2000,0,
internal,training_procedure,primary_recall,2000,0.35074626865671643,0.26051219512195123,0.4305091518207673,2000,0,0.19477611940298506,0.08813000558763272,0.2985105447743744,2000,0,0.15597014925373137,0.06626891842008123,0.2700326300733059,2000,0,
internal,training_procedure,primary_f1,2000,0.35114441902999755,0.2790245185255196,0.41319428376555073,2000,0,0.21920560377085513,0.10195094504368343,0.32126088337302944,2000,0,0.13193881525914242,0.05148143478677339,0.253317730177999,2000,0,
