metric,internal_a_mean,internal_a_sd,internal_a_defined_runs,internal_a_attempted_runs,internal_b_mean,internal_b_sd,internal_b_defined_runs,internal_b_attempted_runs,internal_a_minus_b,external_a_mean,external_a_sd,external_a_defined_runs,external_a_attempted_runs,external_b_mean,external_b_sd,external_b_defined_runs,external_b_attempted_runs,external_a_minus_b,ordering_change,gap_change,internal_a_floor_limited_runs,internal_a_conservative_upper,internal_b_floor_limited_runs,internal_b_conservative_upper,external_a_floor_limited_runs,external_a_conservative_upper,external_b_floor_limited_runs,external_b_conservative_upper
ap50,0.3042238071036434,0.01889597011566169,5,5,0.16261194018585284,0.01617395516234945,5,5,0.14161186691779054,0.0025050980158512295,0.0013802608249610015,5,5,0.0005006936455752758,0.0002719112050301311,5,5,0.0020044043702759536,unchanged,weakened,,,,,,,,
ap50_95,0.09950157082350383,0.006680724714320565,5,5,0.054168353430577396,0.006030311771848993,5,5,0.045333217392926436,0.0006181945691782648,0.00017015880384652928,5,5,0.00011933157250486222,7.703372085220068e-05,5,5,0.0004988629966734026,unchanged,weakened,,,,,,,,
froc_0.125,0.27761194029850744,0.01008153439261664,5,5,0.1798507462686567,0.018165166335280727,5,5,0.09776119402985073,0.056842105263157895,0.03459300363190523,5,5,0.01894736842105263,0.0047075115315785045,5,5,0.037894736842105266,unchanged,weakened,0,0.27761194029850744,0,0.1798507462686567,0,0.056842105263157895,0,0.01894736842105263
froc_0.25,0.36641791044776123,0.027215794819120096,5,5,0.2664179104477612,0.030610663137304015,5,5,0.10000000000000003,0.0863157894736842,0.040358504237222766,5,5,0.033684210526315796,0.01372463664253189,5,5,0.05263157894736841,unchanged,weakened,0,0.36641791044776123,0,0.2664179104477612,0,0.0863157894736842,0,0.033684210526315796
froc_0.5,0.48582089552238805,0.03092741161955537,5,5,0.382089552238806,0.009730152843586026,5,5,0.10373134328358208,0.09473684210526315,0.038676153833418596,5,5,0.06105263157894737,0.02400369315998185,5,5,0.033684210526315775,unchanged,weakened,0,0.48582089552238805,0,0.382089552238806,0,0.09473684210526315,0,0.06105263157894737
froc_1,0.5999999999999999,0.020842149319058107,5,5,0.5074626865671641,0.020093898534083967,5,5,0.09253731343283578,0.11789473684210525,0.05178262684736355,5,5,0.07789473684210527,0.030326021665027226,5,5,0.03999999999999998,unchanged,weakened,0,0.5999999999999999,0,0.5074626865671641,0,0.11789473684210525,1,0.25894736842105265
froc_2,0.6977611940298508,0.019388628442935176,5,5,0.608955223880597,0.03070149616526003,5,5,0.08880597014925384,0.16421052631578947,0.05599762559271742,5,5,0.09894736842105264,0.03378275060185518,5,5,0.06526315789473683,unchanged,weakened,0,0.6977611940298508,1,0.6962686567164178,0,0.16421052631578947,1,0.27999999999999997
primary_precision,0.36241949982431737,0.05808059502476196,5,5,0.2524033958729871,0.1417899409846352,5,5,0.11001610395133027,0.010830209796318482,0.008127881300892014,5,5,0.004270937604270937,0.005966018217840106,5,5,0.006559272192047545,unchanged,weakened,,,,,,,,
primary_recall,0.35074626865671643,0.046304752410413645,5,5,0.19477611940298506,0.11095336070295891,5,5,0.15597014925373137,0.018947368421052633,0.013724636642531892,5,5,0.004210526315789474,0.005765500605317538,5,5,0.01473684210526316,unchanged,weakened,,,,,,,,
primary_f1,0.35114441902999755,0.01841679746523857,5,5,0.21920560377085513,0.12326897269444748,5,5,0.13193881525914242,0.01358021221606645,0.009817289580905091,5,5,0.004214474845542807,0.005800492030848952,5,5,0.009365737370523644,unchanged,weakened,,,,,,,,
